name	line	offset
Lib90_00000	HCC827	104055
Lib90_00001	HCC827	100421
Lib90_00002	H838	93744
Lib90_00003	HCC827	89426
Lib90_00004	HCC827	87517
Lib90_00005	HCC827	81967
Lib90_00006	H1975	82620
Lib90_00007	H1975	81440
Lib90_00008	HCC827	81455
Lib90_00009	H1975	83669
Lib90_00010	H838	78838
Lib90_00011	H838	72065
Lib90_00012	HCC827	77025
Lib90_00013	HCC827	80594
Lib90_00014	HCC827	74911
Lib90_00015	HCC827	73107
Lib90_00016	HCC827	74596
Lib90_00017	H1975	77496
Lib90_00018	HCC827	74493
Lib90_00019	HCC827	75312
Lib90_00020	H838	70185
Lib90_00021	HCC827	74327
Lib90_00022	HCC827	78151
Lib90_00023	H1975	70641
Lib90_00024	H1975	73305
Lib90_00025	HCC827	73671
Lib90_00026	H1975	69574
Lib90_00027	H1975	69116
Lib90_00028	HCC827	67266
Lib90_00029	HCC827	66025
Lib90_00030	H1975	65863
Lib90_00031	HCC827	64163
Lib90_00032	HCC827	67650
Lib90_00033	HCC827	72107
Lib90_00034	HCC827	67843
Lib90_00035	H1975	62252
Lib90_00036	HCC827	65940
Lib90_00037	H838	63350
Lib90_00038	HCC827	65554
Lib90_00039	HCC827	63331
Lib90_00040	HCC827	65347
Lib90_00041	H1975	58358
Lib90_00042	HCC827	63381
Lib90_00043	HCC827	66963
Lib90_00044	HCC827	68016
Lib90_00045	HCC827	65454
Lib90_00046	H838	59219
Lib90_00047	HCC827	64737
Lib90_00048	HCC827	62883
Lib90_00049	HCC827	64999
Lib90_00050	HCC827	63713
Lib90_00051	HCC827	63923
Lib90_00052	H1975	60927
Lib90_00053	H1975	61659
Lib90_00054	HCC827	58744
Lib90_00055	H1975	62971
Lib90_00056	H838	60538
Lib90_00057	H838	59069
Lib90_00058	HCC827	62872
Lib90_00059	HCC827	61486
Lib90_00060	HCC827	63062
Lib90_00061	HCC827	61957
Lib90_00062	H1975	58749
Lib90_00063	HCC827	61252
Lib90_00064	HCC827	62206
Lib90_00065	HCC827	61576
Lib90_00066	HCC827	62235
Lib90_00067	H838	60478
Lib90_00068	HCC827	57839
Lib90_00069	HCC827	60853
Lib90_00070	H838	58384
Lib90_00071	HCC827	59382
Lib90_00072	HCC827	59574
Lib90_00073	H1975	57049
Lib90_00074	H1975	61954
Lib90_00075	HCC827	58868
Lib90_00076	HCC827	59626
Lib90_00077	HCC827	60989
Lib90_00078	H1975	59890
Lib90_00079	H2228	54620
Lib90_00080	H1975	59997
Lib90_00081	HCC827	59646
Lib90_00082	H1975	58211
Lib90_00083	HCC827	59217
Lib90_00084	HCC827	58506
Lib90_00085	HCC827	59996
Lib90_00086	HCC827	63439
Lib90_00087	HCC827	58694
Lib90_00088	H838	55794
Lib90_00089	HCC827	60759
Lib90_00090	H1975	54582
Lib90_00091	HCC827	57939
Lib90_00092	H838	55351
Lib90_00093	HCC827	57846
Lib90_00094	H838	56217
Lib90_00095	H1975	58394
Lib90_00096	H1975	60905
Lib90_00097	H1975	55972
Lib90_00098	HCC827	57869
Lib90_00099	H838	56443
Lib90_00100	H1975	57411
Lib90_00101	H1975	55876
Lib90_00102	HCC827	56565
Lib90_00103	HCC827	54653
Lib90_00104	H2228	55558
Lib90_00105	H838	53375
Lib90_00106	H838	54878
Lib90_00107	H1975	55748
Lib90_00108	H1975	55468
Lib90_00109	HCC827	59785
Lib90_00110	HCC827	57093
Lib90_00111	H1975	52881
Lib90_00112	H838	52828
Lib90_00113	HCC827	56920
Lib90_00114	H838	55510
Lib90_00115	HCC827	55428
Lib90_00116	H1975	53823
Lib90_00117	H838	51634
Lib90_00118	H2228	51416
Lib90_00119	HCC827	56834
Lib90_00120	H838	51904
Lib90_00121	HCC827	56405
Lib90_00122	H838	57623
Lib90_00123	H838	51234
Lib90_00124	H1975	52566
Lib90_00125	H1975	55813
Lib90_00126	H838	49024
Lib90_00127	H1975	55105
Lib90_00128	HCC827	56261
Lib90_00129	HCC827	52192
Lib90_00130	H2228	56070
Lib90_00131	H1975	56332
Lib90_00132	H1975	56225
Lib90_00133	HCC827	50996
Lib90_00134	H1975	49043
Lib90_00135	HCC827	54967
Lib90_00136	H1975	54351
Lib90_00137	H838	51272
Lib90_00138	H838	54260
Lib90_00139	H838	52903
Lib90_00140	HCC827	52529
Lib90_00141	H838	50065
Lib90_00142	H2228	50199
Lib90_00143	HCC827	56447
Lib90_00144	H1975	49145
Lib90_00145	HCC827	56303
Lib90_00146	H838	54044
Lib90_00147	HCC827	54143
Lib90_00148	H1975	52758
Lib90_00149	HCC827	55662
Lib90_00150	H838	49963
Lib90_00151	H838	51564
Lib90_00152	H1975	51631
Lib90_00153	HCC827	53594
Lib90_00154	H838	50087
Lib90_00155	H838	53663
Lib90_00156	H838	48191
Lib90_00157	H1975	51838
Lib90_00158	H838	51278
Lib90_00159	H838	47701
Lib90_00160	A549	53953
Lib90_00161	H2228	50110
Lib90_00162	HCC827	51044
Lib90_00163	HCC827	55371
Lib90_00164	HCC827	51363
Lib90_00165	H2228	50914
Lib90_00166	HCC827	53521
Lib90_00167	H838	46561
Lib90_00168	HCC827	52213
Lib90_00169	H838	48286
Lib90_00170	H838	49764
Lib90_00171	H1975	52079
Lib90_00172	H838	51242
Lib90_00173	H1975	47807
Lib90_00174	H1975	45134
Lib90_00175	H1975	51117
Lib90_00176	H1975	49801
Lib90_00177	H838	46264
Lib90_00178	H1975	53049
Lib90_00179	H1975	50958
Lib90_00180	H838	46639
Lib90_00181	H838	49331
Lib90_00182	H1975	48535
Lib90_00183	H838	51947
Lib90_00184	HCC827	52312
Lib90_00185	H1975	49310
Lib90_00186	H1975	53370
Lib90_00187	H838	49512
Lib90_00188	H838	49874
Lib90_00189	A549	49761
Lib90_00190	H838	49687
Lib90_00191	HCC827	51522
Lib90_00192	HCC827	53629
Lib90_00193	H2228	49065
Lib90_00194	HCC827	50633
Lib90_00195	H838	46061
Lib90_00196	H2228	46932
Lib90_00197	HCC827	49000
Lib90_00198	H2228	49017
Lib90_00199	H1975	50905
Lib90_00200	H2228	49728
Lib90_00201	H1975	49372
Lib90_00202	H1975	45622
Lib90_00203	H838	46978
Lib90_00204	HCC827	50723
Lib90_00205	H1975	46269
Lib90_00206	H838	47646
Lib90_00207	H838	47023
Lib90_00208	HCC827	45518
Lib90_00209	HCC827	50495
Lib90_00210	HCC827	49129
Lib90_00211	H1975	49401
Lib90_00212	HCC827	48737
Lib90_00213	H838	46644
Lib90_00214	H1975	51768
Lib90_00215	HCC827	50317
Lib90_00216	H2228	45139
Lib90_00217	H1975	50419
Lib90_00218	H838	45683
Lib90_00219	H1975	50111
Lib90_00220	HCC827	47323
Lib90_00221	H1975	47313
Lib90_00222	H1975	44652
Lib90_00223	H1975	48559
Lib90_00224	HCC827	49144
Lib90_00225	H2228	48573
Lib90_00226	HCC827	49809
Lib90_00227	HCC827	48899
Lib90_00228	H838	46308
Lib90_00229	H1975	48007
Lib90_00230	H1975	43923
Lib90_00231	H1975	49454
Lib90_00232	HCC827	46164
Lib90_00233	HCC827	48165
Lib90_00234	H1975	44283
Lib90_00235	H838	47686
Lib90_00236	H1975	47198
Lib90_00237	H1975	46831
Lib90_00238	H838	45587
Lib90_00239	H838	44369
Lib90_00240	HCC827	46264
Lib90_00241	H2228	47575
Lib90_00242	H1975	45434
Lib90_00243	H838	45999
Lib90_00244	H1975	47014
Lib90_00245	H1975	47279
Lib90_00246	HCC827	46637
Lib90_00247	H1975	49940
Lib90_00248	H838	46049
Lib90_00249	HCC827	50376
Lib90_00250	H838	51005
Lib90_00251	H1975	46881
Lib90_00252	H838	45142
Lib90_00253	H838	44705
Lib90_00254	H1975	47543
Lib90_00255	H1975	44923
Lib90_00256	HCC827	47833
Lib90_00257	H838	43075
Lib90_00258	H1975	39754
Lib90_00259	H838	43848
Lib90_00260	HCC827	49330
Lib90_00261	H838	36841
Lib90_00262	HCC827	47283
Lib90_00263	HCC827	50046
Lib90_00264	H838	44709
Lib90_00265	HCC827	47684
Lib90_00266	H838	44626
Lib90_00267	H838	44805
Lib90_00268	H838	44669
Lib90_00269	HCC827	47256
Lib90_00270	H2228	47894
Lib90_00271	H1975	46454
Lib90_00272	HCC827	44549
Lib90_00273	HCC827	47676
Lib90_00274	H1975	46130
Lib90_00275	H838	42714
Lib90_00276	HCC827	45665
Lib90_00277	H838	47653
Lib90_00278	H1975	45467
Lib90_00279	H838	47096
Lib90_00280	H1975	42047
Lib90_00281	H2228	46907
Lib90_00282	H2228	44289
Lib90_00283	H838	45542
Lib90_00284	H838	42695
Lib90_00285	HCC827	48580
Lib90_00286	HCC827	47913
Lib90_00287	H838	43400
Lib90_00288	H2228	45462
Lib90_00289	H1975	46299
Lib90_00290	H1975	43688
Lib90_00291	H838	44436
Lib90_00292	HCC827	44878
Lib90_00293	H2228	45742
Lib90_00294	H838	43924
Lib90_00295	H2228	46903
Lib90_00296	H2228	41235
Lib90_00297	H1975	46796
Lib90_00298	HCC827	44272
Lib90_00299	H1975	46501
Lib90_00300	H1975	46964
Lib90_00301	H838	42922
Lib90_00302	HCC827	47263
Lib90_00303	H838	43971
Lib90_00304	H838	40867
Lib90_00305	H838	47236
Lib90_00306	H838	43914
Lib90_00307	H838	43346
Lib90_00308	H2228	44514
Lib90_00309	H838	42211
Lib90_00310	H2228	42856
Lib90_00311	A549	48490
Lib90_00312	A549	45913
Lib90_00313	HCC827	45698
Lib90_00314	HCC827	47051
Lib90_00315	H838	46194
Lib90_00316	HCC827	47568
Lib90_00317	HCC827	42191
Lib90_00318	H838	44985
Lib90_00319	H838	44102
Lib90_00320	HCC827	47383
Lib90_00321	H1975	44537
Lib90_00322	H838	43024
Lib90_00323	H838	45020
Lib90_00324	HCC827	45322
Lib90_00325	H838	42254
Lib90_00326	H2228	42625
Lib90_00327	H838	44674
Lib90_00328	H2228	43465
Lib90_00329	HCC827	47578
Lib90_00330	H838	45035
Lib90_00331	H838	43346
Lib90_00332	H838	41746
Lib90_00333	H1975	45614
Lib90_00334	HCC827	49196
Lib90_00335	H2228	44670
Lib90_00336	H838	42193
Lib90_00337	H838	42200
Lib90_00338	H1975	46971
Lib90_00339	H2228	44847
Lib90_00340	H1975	45610
